crop,state_name,season,crop_year,price_per_ton,price_low_bound,price_high_bound
Rice,Andaman and Nicobar Islands,Kharif,2000,23388.51,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2000,18000.25,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2000,70000.26,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2001,25468.79,22000.0,32000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2001,70000.28,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2006,24341.79,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2006,18000.3,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2006,70000.31,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Autumn,2010,22086.42,22000.0,32000.0
Maize,Andaman and Nicobar Islands,Rabi,2010,20000.33,20000.0,28000.0
Blackgram,Andaman and Nicobar Islands,Rabi,2010,78729.35,65000.0,82000.0
Banana,Andaman and Nicobar Islands,Whole Year,2010,18000.35,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2010,70000.36,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2002,24014.69,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2002,18000.38,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2002,70000.39,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2003,24228.44,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2003,18000.41,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2003,70000.42,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2004,24154.13,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2004,18000.44,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2004,70000.45,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2005,23459.4,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2005,18000.47,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2005,70000.48,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Kharif,2006,23591.3,22000.0,32000.0
Banana,Andaman and Nicobar Islands,Whole Year,2006,18000.5,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2006,70000.51,45000.0,70000.0
Rice,Andaman and Nicobar Islands,Autumn,2010,24249.03,22000.0,32000.0
Maize,Andaman and Nicobar Islands,Rabi,2010,20000.53,20000.0,28000.0
Blackgram,Andaman and Nicobar Islands,Rabi,2010,82000.54,65000.0,82000.0
Banana,Andaman and Nicobar Islands,Whole Year,2010,18000.55,18000.0,30000.0
Coconut,Andaman and Nicobar Islands,Whole Year,2010,70000.56,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,1997,20000.57,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1997,24017.97,22000.0,32000.0
Maize,Andhra Pradesh,Rabi,1997,20000.59,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,1997,26466.33,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,1998,20000.61,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1998,22700.82,22000.0,32000.0
Maize,Andhra Pradesh,Rabi,1998,20000.63,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,1998,26617.56,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,1999,20000.65,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1999,23539.62,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,1999,77374.71,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,1999,20000.68,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,1999,25589.39,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,2000,20000.7,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2000,27055.86,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2000,74380.84,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2000,20000.73,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2000,25909.83,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2000,82000.75,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2000,18000.76,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2000,70000.77,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2001,20000.78,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2001,27142.66,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2001,82000.8,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2001,20000.81,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2001,26234.36,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2001,82000.83,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2001,18000.84,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2001,70000.85,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2002,20000.86,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2002,25027.37,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2002,82000.88,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2002,20000.89,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2002,24972.59,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2002,82000.91,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2002,18000.92,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2002,70000.93,45000.0,70000.0
Grapes,Andhra Pradesh,Whole Year,2002,30000.94,30000.0,50000.0
Mango,Andhra Pradesh,Whole Year,2002,28000.95,28000.0,45000.0
Orange,Andhra Pradesh,Whole Year,2002,25000.96,25000.0,42000.0
Papaya,Andhra Pradesh,Whole Year,2002,16000.97,16000.0,28000.0
Maize,Andhra Pradesh,Kharif,2003,20000.98,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2003,23709.55,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2003,82001.0,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2003,20001.01,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2003,26231.34,22000.0,32000.0
Banana,Andhra Pradesh,Whole Year,2003,18001.03,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2003,70001.04,45000.0,70000.0
Grapes,Andhra Pradesh,Whole Year,2003,30001.05,30000.0,50000.0
Mango,Andhra Pradesh,Whole Year,2003,28001.06,28000.0,45000.0
Orange,Andhra Pradesh,Whole Year,2003,25001.07,25000.0,42000.0
Papaya,Andhra Pradesh,Whole Year,2003,16001.08,16000.0,28000.0
Maize,Andhra Pradesh,Kharif,2004,20001.09,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2004,23691.94,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2004,81579.82,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2004,20001.12,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2004,28478.75,22000.0,32000.0
Banana,Andhra Pradesh,Whole Year,2004,18001.14,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2004,70001.15,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2005,20001.16,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2005,25650.87,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2005,81289.98,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2005,20001.19,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2005,26727.7,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2005,82001.21,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2005,18001.22,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2005,70001.23,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2006,20001.24,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2006,24259.8,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2006,82001.26,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2006,20001.27,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2006,26436.32,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2006,82001.29,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2006,18001.3,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2006,70001.31,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2007,20001.32,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2007,25847.27,22000.0,32000.0
Maize,Andhra Pradesh,Rabi,2007,20001.34,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2007,27070.89,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,2008,20001.36,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2008,26895.18,22000.0,32000.0
Maize,Andhra Pradesh,Rabi,2008,20001.38,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2008,24163.5,22000.0,32000.0
Banana,Andhra Pradesh,Whole Year,2008,18001.4,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2008,70001.41,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2009,20001.42,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2009,25104.8,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2009,70948.2,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2009,20001.45,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2009,26349.54,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2009,82001.47,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2009,18001.48,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2009,70001.49,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2010,20001.5,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2010,25513.14,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2010,82001.52,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2010,20001.53,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2010,23007.29,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2010,78120.7,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2010,18001.56,18000.0,30000.0
Maize,Andhra Pradesh,Kharif,2011,20001.57,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2011,25413.32,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2011,79398.16,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2011,20001.6,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2011,26348.43,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2011,82001.62,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2011,18001.63,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2011,70001.64,45000.0,70000.0
Grapes,Andhra Pradesh,Kharif,2012,30001.65,30000.0,50000.0
Maize,Andhra Pradesh,Kharif,2012,20001.66,20000.0,28000.0
Mango,Andhra Pradesh,Kharif,2012,28001.67,28000.0,45000.0
Papaya,Andhra Pradesh,Kharif,2012,16001.68,16000.0,28000.0
Rice,Andhra Pradesh,Kharif,2012,23847.06,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2012,74819.02,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2012,20001.71,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2012,25500.71,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2012,82001.73,65000.0,82000.0
Coconut,Andhra Pradesh,Whole Year,2012,70001.74,45000.0,70000.0
Grapes,Andhra Pradesh,Kharif,2013,30001.75,30000.0,50000.0
Maize,Andhra Pradesh,Kharif,2013,20001.76,20000.0,28000.0
Mango,Andhra Pradesh,Kharif,2013,28001.77,28000.0,45000.0
Papaya,Andhra Pradesh,Kharif,2013,16001.78,16000.0,28000.0
Rice,Andhra Pradesh,Kharif,2013,23141.13,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2013,78082.37,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2013,20001.81,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2013,24696.2,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2013,78506.26,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2013,18001.84,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2013,70001.85,45000.0,70000.0
Grapes,Andhra Pradesh,Kharif,2014,30001.86,30000.0,50000.0
Maize,Andhra Pradesh,Kharif,2014,20001.87,20000.0,28000.0
Mango,Andhra Pradesh,Kharif,2014,28001.88,28000.0,45000.0
Papaya,Andhra Pradesh,Kharif,2014,16001.89,16000.0,28000.0
Rice,Andhra Pradesh,Kharif,2014,23356.15,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2014,82001.91,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2014,20001.92,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2014,27108.93,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2014,82001.94,65000.0,82000.0
Coconut,Andhra Pradesh,Whole Year,2014,70001.95,45000.0,70000.0
Rice,Andhra Pradesh,Whole Year,2014,25591.71,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,1997,20001.97,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1997,24000.33,22000.0,32000.0
Rice,Andhra Pradesh,Rabi,1997,23459.84,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,1998,20002.0,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1998,25757.96,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,1998,81932.67,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,1998,20002.03,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,1998,26756.28,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,1999,20002.05,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1999,24448.32,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,1999,74000.41,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,1999,20002.08,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,1999,26614.3,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,1999,81250.46,65000.0,82000.0
Maize,Andhra Pradesh,Kharif,2000,20002.11,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2000,23543.77,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2000,79131.32,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2000,20002.14,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2000,26640.57,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2000,82002.16,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2000,18002.17,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2000,70002.18,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2001,20002.19,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2001,24524.29,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2001,82002.21,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2001,20002.22,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2001,26717.87,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2001,80822.0,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2001,18002.25,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2001,70002.26,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2002,20002.27,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2002,24012.78,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2002,75902.13,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2002,20002.3,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2002,25581.83,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2002,82002.32,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2002,18002.33,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2002,70002.34,45000.0,70000.0
Grapes,Andhra Pradesh,Whole Year,2002,30002.35,30000.0,50000.0
Mango,Andhra Pradesh,Whole Year,2002,28002.36,28000.0,45000.0
Orange,Andhra Pradesh,Whole Year,2002,25002.37,25000.0,42000.0
Papaya,Andhra Pradesh,Whole Year,2002,16002.38,16000.0,28000.0
Maize,Andhra Pradesh,Kharif,2003,20002.39,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2003,24438.25,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2003,75224.27,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2003,20002.42,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2003,27776.28,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2003,82002.44,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2003,18002.45,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2003,70002.46,45000.0,70000.0
Grapes,Andhra Pradesh,Whole Year,2003,30002.47,30000.0,50000.0
Mango,Andhra Pradesh,Whole Year,2003,28002.48,28000.0,45000.0
Orange,Andhra Pradesh,Whole Year,2003,25002.49,25000.0,42000.0
Papaya,Andhra Pradesh,Whole Year,2003,16002.5,16000.0,28000.0
Maize,Andhra Pradesh,Kharif,2004,20002.51,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2004,23890.65,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2004,76075.94,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2004,20002.54,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2004,24011.48,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2004,82002.56,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2004,18002.57,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2004,70002.58,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2005,20002.59,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2005,24647.68,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2005,80068.49,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2005,20002.62,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2005,28233.41,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2005,82002.64,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2005,18002.65,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2005,70002.66,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2006,20002.67,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2006,23038.29,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2006,78305.61,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2006,20002.7,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2006,27838.29,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2006,82002.72,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2006,18002.73,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2006,70002.74,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2007,20002.75,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2007,24470.43,22000.0,32000.0
Maize,Andhra Pradesh,Rabi,2007,20002.77,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2007,27168.68,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,2008,20002.79,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2008,27001.11,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2008,82002.81,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2008,20002.82,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2008,25858.88,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2008,82002.84,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2008,18002.85,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2008,70002.86,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2009,20002.87,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2009,24896.41,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2009,82002.89,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2009,20002.9,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2009,26301.89,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2009,78890.55,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2009,18002.93,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2009,70002.94,45000.0,70000.0
Maize,Andhra Pradesh,Kharif,2010,20002.95,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2010,25401.07,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2010,82002.97,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2010,20002.98,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2010,26548.56,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2010,82003.0,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2010,18003.01,18000.0,30000.0
Maize,Andhra Pradesh,Kharif,2011,20003.02,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2011,24155.35,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2011,82003.04,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2011,20003.05,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2011,27390.78,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2011,79524.4,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2011,18003.08,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2011,70003.09,45000.0,70000.0
Grapes,Andhra Pradesh,Kharif,2012,30003.1,30000.0,50000.0
Maize,Andhra Pradesh,Kharif,2012,20003.11,20000.0,28000.0
Mango,Andhra Pradesh,Kharif,2012,28003.12,28000.0,45000.0
Papaya,Andhra Pradesh,Kharif,2012,16003.13,16000.0,28000.0
Rice,Andhra Pradesh,Kharif,2012,26305.46,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2012,82003.15,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2012,20003.16,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2012,26178.64,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2012,82003.18,65000.0,82000.0
Coconut,Andhra Pradesh,Whole Year,2012,70003.19,45000.0,70000.0
Grapes,Andhra Pradesh,Kharif,2013,30003.2,30000.0,50000.0
Maize,Andhra Pradesh,Kharif,2013,20003.21,20000.0,28000.0
Mango,Andhra Pradesh,Kharif,2013,28003.22,28000.0,45000.0
Papaya,Andhra Pradesh,Kharif,2013,16003.23,16000.0,28000.0
Rice,Andhra Pradesh,Kharif,2013,25721.0,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2013,82003.25,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2013,20003.26,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2013,28640.59,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2013,79099.69,65000.0,82000.0
Banana,Andhra Pradesh,Whole Year,2013,18003.29,18000.0,30000.0
Coconut,Andhra Pradesh,Whole Year,2013,70003.3,45000.0,70000.0
Grapes,Andhra Pradesh,Kharif,2014,30003.31,30000.0,50000.0
Maize,Andhra Pradesh,Kharif,2014,20003.32,20000.0,28000.0
Mango,Andhra Pradesh,Kharif,2014,28003.33,28000.0,45000.0
Papaya,Andhra Pradesh,Kharif,2014,16003.34,16000.0,28000.0
Rice,Andhra Pradesh,Kharif,2014,23130.51,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2014,82003.36,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,2014,20003.37,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,2014,25816.84,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,2014,82003.39,65000.0,82000.0
Coconut,Andhra Pradesh,Whole Year,2014,70003.4,45000.0,70000.0
Rice,Andhra Pradesh,Whole Year,2014,24322.73,22000.0,32000.0
Maize,Andhra Pradesh,Kharif,1997,20003.42,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1997,26600.28,22000.0,32000.0
Maize,Andhra Pradesh,Rabi,1997,20003.44,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,1997,27374.95,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,1997,79087.21,65000.0,82000.0
Maize,Andhra Pradesh,Kharif,1998,20003.47,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1998,24820.01,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,1998,82003.49,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,1998,20003.5,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,1998,25703.27,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,1998,81718.36,65000.0,82000.0
Maize,Andhra Pradesh,Kharif,1999,20003.53,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,1999,25952.39,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,1999,80071.44,65000.0,82000.0
Maize,Andhra Pradesh,Rabi,1999,20340.71,20000.0,28000.0
Rice,Andhra Pradesh,Rabi,1999,25540.93,22000.0,32000.0
Blackgram,Andhra Pradesh,Rabi,1999,82003.58,65000.0,82000.0
Maize,Andhra Pradesh,Kharif,2000,20003.59,20000.0,28000.0
Rice,Andhra Pradesh,Kharif,2000,23332.0,22000.0,32000.0
Blackgram,Andhra Pradesh,Kharif,2000,80967.3,65000.0,82000.0
