crop,state_name,season,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture
Blackgram,Uttar Pradesh,Summer,20.26,50.11,21.99,32.27,68.85,7.79,74.99,18.97
Grapes,Karnataka,Whole Year,26.71,111.74,175.78,38.29,89.66,6.25,70.59,18.14
Blackgram,Sikkim,Kharif,53.92,77.87,34.01,28.07,70.36,7.02,92.22,25.8
Rice,Karnataka,Summer,97.17,67.9,40.52,27.76,76.68,7.8,288.22,36.0
Jute,West Bengal,Kharif,68.21,66.26,33.93,24.89,96.12,6.68,181.97,30.52
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Jute,West Bengal,Kharif,70.05,73.0,34.98,27.98,78.08,7.2,219.34,26.48
Lentil,Nagaland,Rabi,24.94,75.82,18.15,17.56,72.48,7.14,20.0,24.42
Lentil,Nagaland,Rabi,13.63,81.77,22.45,17.63,66.97,6.5,20.0,28.52
Grapes,Tamil Nadu,Whole Year,30.52,87.69,169.08,18.42,78.08,6.34,103.75,23.05
Banana,Bihar,Whole Year,82.64,95.34,53.56,25.47,87.29,5.58,131.45,32.26
Papaya,Andhra Pradesh,Kharif,33.4,48.98,37.36,34.63,98.0,6.38,92.46,37.41
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Coconut,Assam,Whole Year,19.88,27.36,29.65,21.72,98.0,6.43,158.02,30.96
Maize,Uttar Pradesh,Summer,65.07,28.39,28.92,34.69,60.69,5.87,44.73,16.56
Jute,Odisha,Autumn,89.17,74.84,40.0,24.04,73.48,7.74,176.48,34.39
Orange,Assam,Kharif,16.2,40.61,19.16,18.44,97.75,7.18,152.26,41.94
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Jute,Meghalaya,Kharif,71.01,57.03,24.76,29.63,90.92,6.72,154.33,28.6
Maize,Karnataka,Summer,49.67,27.52,24.68,23.23,67.6,6.17,59.41,16.33
Banana,Uttar Pradesh,Summer,67.76,89.13,37.23,27.56,84.3,6.37,124.51,30.51
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Jute,West Bengal,Kharif,43.21,67.61,46.61,23.98,89.89,5.22,210.66,34.86
Jute,Madhya Pradesh,Kharif,72.33,64.24,54.28,24.85,98.0,5.93,162.25,32.44
Blackgram,Uttar Pradesh,Kharif,63.82,51.19,20.38,37.92,72.79,7.21,70.51,24.86
Lentil,Uttarakhand,Rabi,25.42,62.88,27.26,19.51,63.8,7.72,57.24,11.23
Banana,Telangana ,Whole Year,69.71,85.6,62.62,27.88,82.2,5.86,88.65,27.44
Grapes,Andhra Pradesh,Kharif,54.71,107.05,159.1,24.72,81.37,5.58,112.65,17.77
Blackgram,Tamil Nadu,Kharif,53.21,77.43,30.06,33.15,76.05,6.94,134.11,33.84
Mango,Rajasthan,Whole Year,21.7,27.74,36.41,30.87,66.06,5.21,124.4,30.08
Banana,Assam,Whole Year,98.43,60.19,59.5,25.62,73.93,5.92,123.53,25.56
Mango,Andhra Pradesh,Whole Year,25.58,37.95,42.51,30.58,55.92,5.47,120.75,22.07
Rice,Karnataka,Summer,62.33,26.85,42.17,24.08,80.0,6.22,187.36,23.45
Jute,Odisha,Kharif,67.53,44.77,48.96,28.13,78.06,5.8,142.77,25.22
Jute,Assam,Kharif,78.03,30.74,53.3,23.59,83.61,5.96,175.72,27.85
Coconut,Assam,Whole Year,51.37,12.82,44.65,28.7,98.0,6.14,178.75,34.04
Rice,Karnataka,Summer,63.66,41.43,42.24,31.11,80.89,7.77,202.64,32.83
Blackgram,Odisha,Rabi,70.66,80.43,31.66,29.65,59.22,7.19,43.04,20.01
Blackgram,Uttar Pradesh,Kharif,36.83,80.8,13.31,36.05,78.51,5.54,107.15,25.19
Blackgram,Tripura,Rabi,62.99,64.89,29.43,33.08,62.13,8.0,35.61,15.7
Papaya,Chhattisgarh,Whole Year,71.57,50.12,52.38,24.76,85.3,6.98,20.0,26.57
Grapes,Karnataka,Whole Year,50.43,131.19,175.21,16.13,81.25,5.51,77.03,24.28
Banana,Bihar,Whole Year,79.85,73.71,37.4,23.8,89.33,6.67,151.3,28.73
Maize,Karnataka,Summer,38.77,65.25,38.76,26.32,56.2,6.31,71.45,24.18
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Blackgram,Sikkim,Kharif,61.26,57.34,35.31,29.75,69.34,7.31,134.37,25.87
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Blackgram,Karnataka,Kharif,49.34,55.17,23.21,40.0,77.16,6.64,108.14,24.26
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Coconut,West Bengal,Whole Year,50.69,34.93,42.1,23.49,94.32,5.44,164.51,25.39
Lentil,Nagaland,Rabi,18.05,67.19,19.82,38.28,67.54,5.63,43.58,15.6
Coconut,Assam,Whole Year,45.63,28.36,33.35,30.54,84.88,5.6,184.96,26.22
Mango,Andhra Pradesh,Kharif,10.0,30.13,41.97,35.73,58.22,6.15,149.7,30.14
Jute,Bihar,Kharif,65.44,46.95,25.75,27.89,75.06,5.42,218.38,22.69
Orange,Assam,Whole Year,10.0,44.16,16.22,33.93,92.48,7.61,157.84,27.26
Maize,Madhya Pradesh,Kharif,70.9,47.74,38.94,26.99,81.67,7.07,154.87,23.83
Mango,Rajasthan,Whole Year,16.86,18.92,45.03,36.53,58.17,4.56,135.09,28.54
Maize,Bihar,Autumn,40.13,38.47,33.93,27.57,84.07,6.31,122.27,29.37
Coconut,West Bengal,Whole Year,61.45,52.22,45.05,25.76,80.77,6.28,116.52,29.46
Lentil,Uttarakhand,Rabi,36.21,62.74,27.99,24.4,69.27,5.96,54.99,21.0
Papaya,Andhra Pradesh,Kharif,64.72,65.73,47.64,18.64,85.39,6.37,213.72,40.46
Grapes,Telangana ,Whole Year,10.0,111.12,166.14,24.06,90.28,5.27,57.93,26.48
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Orange,Assam,Kharif,26.37,33.07,27.55,34.25,98.0,7.52,164.43,32.92
Mango,Kerala,Whole Year,21.73,17.58,38.99,33.09,66.66,5.09,126.19,24.53
Papaya,Assam,Whole Year,64.89,62.02,63.56,35.07,86.47,6.45,20.0,20.85
Rice,Odisha,Autumn,44.48,53.79,51.94,30.57,76.66,6.36,196.68,25.7
Blackgram,Karnataka,Rabi,56.34,74.79,21.8,35.82,60.68,7.07,93.37,23.26
Coconut,Assam,Whole Year,29.6,26.78,37.87,28.11,92.63,5.98,160.21,28.29
Maize,Uttar Pradesh,Kharif,75.44,47.99,19.45,25.07,74.82,5.4,103.51,29.19
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Mango,Kerala,Whole Year,53.66,45.05,28.04,34.72,61.58,5.42,107.95,19.75
Jute,West Bengal,Kharif,78.66,52.7,47.49,29.89,98.0,6.79,179.8,31.79
Orange,Telangana ,Whole Year,10.03,22.42,18.39,30.95,97.07,6.98,109.9,26.66
Rice,Puducherry,Summer,68.07,54.72,44.55,27.61,77.23,6.49,194.65,22.09
Orange,Assam,Whole Year,28.21,52.8,22.87,35.38,92.0,7.98,93.25,26.39
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Coconut,Telangana ,Whole Year,45.65,41.28,34.97,24.78,95.41,7.12,159.54,35.9
Blackgram,Uttar Pradesh,Summer,36.75,74.61,26.62,30.62,65.79,8.05,42.38,21.98
Coconut,Kerala,Whole Year,23.98,36.0,43.47,22.77,83.39,6.48,177.2,30.66
Rice,Karnataka,Summer,57.58,69.24,44.66,21.29,74.68,5.52,188.5,24.32
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Jute,Assam,Kharif,59.41,62.09,42.12,31.92,75.89,6.57,164.24,38.94
Coconut,Karnataka,Whole Year,19.37,16.63,33.23,25.04,94.01,5.34,138.86,31.38
Maize,Telangana ,Kharif,90.69,32.42,29.41,17.76,80.51,6.68,130.04,32.5
Blackgram,Madhya Pradesh,Kharif,67.75,70.51,42.18,30.28,72.99,7.2,77.39,24.16
Jute,Odisha,Autumn,106.42,46.68,31.15,29.85,76.84,5.59,141.34,22.97
Jute,Bihar,Kharif,58.46,51.19,33.71,26.53,73.05,6.1,196.09,30.97
Rice,Punjab,Kharif,96.32,63.42,57.27,27.26,80.79,6.68,257.9,36.44
Orange,Assam,Kharif,53.19,39.03,21.01,31.62,85.4,7.9,138.74,23.63
Maize,Maharashtra,Rabi,46.48,51.2,29.2,20.11,51.77,5.92,36.08,23.35
Banana,Gujarat,Whole Year,98.28,70.02,48.61,32.4,82.33,6.62,112.6,32.95
Blackgram,Chhattisgarh,Rabi,32.56,76.43,40.67,26.02,71.24,6.98,77.54,25.76
Rice,Assam,Summer,62.35,48.33,45.79,24.24,78.33,6.46,58.8,16.39
Orange,Assam,Kharif,58.09,42.41,22.25,30.23,92.6,5.91,108.4,32.02
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Coconut,Kerala,Whole Year,41.12,52.4,32.8,30.98,89.16,6.05,246.34,37.14
Maize,Tripura,Kharif,43.23,69.55,19.92,27.67,95.46,4.89,132.17,28.25
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Maize,Bihar,Summer,39.66,69.73,22.77,24.15,60.84,5.93,71.62,29.66
Coconut,Karnataka,Whole Year,10.0,14.3,38.77,28.46,89.57,5.93,141.86,25.49
Grapes,Tamil Nadu,Whole Year,22.83,103.72,167.23,10.0,77.44,6.44,84.59,26.78
Mango,Andhra Pradesh,Kharif,39.77,64.21,33.17,25.74,68.98,5.89,107.46,26.26
Orange,Telangana ,Whole Year,24.46,14.61,29.25,17.09,92.01,6.05,127.03,27.95
Rice,Bihar,Kharif,83.08,48.5,45.74,22.92,82.89,7.01,239.71,30.06
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Rice,Bihar,Winter,92.25,72.09,41.53,17.99,84.46,7.21,209.67,30.14
Rice,Assam,Summer,77.56,65.86,39.92,28.41,80.03,4.79,202.48,25.67
Maize,Tamil Nadu,Kharif,48.31,46.58,37.01,21.72,74.64,5.94,162.17,25.06
Blackgram,West Bengal,Rabi,33.19,60.86,36.76,25.26,58.45,8.03,87.38,23.16
Rice,Karnataka,Kharif,78.52,71.61,51.07,19.91,90.45,7.67,275.05,42.66
Coconut,Karnataka,Whole Year,25.66,18.09,33.87,26.64,93.71,5.8,176.83,30.84
Mango,Puducherry,Kharif,10.78,24.78,38.75,33.96,63.71,6.54,103.8,22.16
Banana,Andaman and Nicobar Islands,Whole Year,90.81,76.28,52.13,26.41,71.76,6.68,123.7,29.24
Mango,Kerala,Whole Year,29.92,22.84,39.3,31.5,59.45,5.97,100.8,19.48
Jute,West Bengal,Kharif,63.17,17.41,45.44,29.57,87.76,7.3,198.75,28.91
Blackgram,Tamil Nadu,Kharif,55.71,45.98,22.04,25.63,73.67,6.1,123.99,21.9
Jute,Meghalaya,Kharif,45.11,21.24,32.94,25.79,97.91,6.71,239.27,34.71
Banana,Chhattisgarh,Whole Year,63.98,67.84,50.59,24.16,76.65,6.07,46.09,18.05
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Papaya,Assam,Kharif,49.28,86.19,57.94,33.85,98.0,6.88,248.59,42.38
Jute,West Bengal,Kharif,67.86,63.48,38.62,26.63,83.09,5.54,188.95,34.23
Banana,Bihar,Whole Year,111.81,76.46,54.46,24.27,67.81,6.5,149.23,27.9
Maize,Bihar,Rabi,49.1,51.88,32.86,23.25,72.45,7.35,39.79,21.26
Maize,Uttar Pradesh,Rabi,83.9,70.94,20.03,25.07,66.9,7.26,43.3,19.55
Blackgram,Karnataka,Kharif,40.93,89.52,25.13,33.3,69.8,7.52,87.03,21.85
Maize,Odisha,Winter,88.08,41.22,29.44,16.47,54.95,5.95,62.16,24.22
Blackgram,Rajasthan,Kharif,47.89,44.79,26.1,27.45,76.51,7.91,136.76,24.18
Blackgram,Tamil Nadu,Kharif,41.72,52.68,16.96,34.22,74.82,6.82,136.22,25.86
Orange,Andhra Pradesh,Whole Year,10.53,38.53,27.01,32.78,83.76,6.31,142.51,28.95
Papaya,Madhya Pradesh,Whole Year,82.75,66.81,54.3,40.0,86.4,6.77,43.57,22.67
Blackgram,Maharashtra,Kharif,44.61,85.7,35.95,17.86,85.27,7.01,97.89,27.47
Banana,Bihar,Whole Year,102.91,66.09,45.54,27.66,79.22,6.26,91.84,17.07
Coconut,Andhra Pradesh,Whole Year,46.4,27.97,33.82,27.77,90.78,6.29,141.61,26.15
Jute,Assam,Kharif,71.08,55.01,51.41,27.33,77.76,7.46,193.03,27.11
Grapes,Haryana,Whole Year,22.04,107.23,168.24,29.76,81.79,6.44,100.86,21.11
Orange,Assam,Whole Year,22.7,11.17,29.22,23.38,88.22,7.59,123.55,29.38
Maize,Himachal Pradesh,Kharif,95.37,37.73,18.61,22.61,63.0,6.66,126.64,25.95
Blackgram,Madhya Pradesh,Kharif,19.32,62.43,39.35,37.09,73.34,7.5,80.69,24.9
Banana,Andhra Pradesh,Whole Year,81.92,80.68,46.89,26.96,93.1,5.53,80.09,25.93
Jute,Bihar,Kharif,89.4,51.48,47.36,26.71,87.89,6.68,211.09,36.09
Banana,Chhattisgarh,Whole Year,97.8,78.18,49.04,27.06,79.86,6.02,105.0,36.11
Coconut,Karnataka,Whole Year,34.25,28.05,40.33,28.23,89.69,5.43,197.63,24.81
Lentil,Nagaland,Rabi,51.2,73.71,15.98,15.87,54.05,6.41,37.19,25.73
Banana,Assam,Whole Year,104.26,96.87,52.67,28.19,83.54,5.91,143.22,29.95
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Grapes,Maharashtra,Whole Year,10.28,108.68,169.42,30.56,80.73,6.34,73.09,20.02
Blackgram,Uttar Pradesh,Summer,34.09,62.6,32.62,39.87,54.88,6.97,81.75,12.67
Grapes,Andhra Pradesh,Whole Year,19.04,109.56,168.57,40.0,79.29,6.81,97.3,26.0
Grapes,Karnataka,Whole Year,65.8,109.06,157.46,10.0,84.74,5.32,75.93,36.08
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Banana,Tamil Nadu,Whole Year,93.74,77.23,54.77,25.73,82.45,6.95,88.73,23.39
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Blackgram,Assam,Rabi,43.0,66.12,36.27,26.68,62.97,6.82,68.64,23.11
Blackgram,Assam,Rabi,25.75,76.21,37.65,21.48,69.51,6.87,93.03,30.4
Orange,Assam,Kharif,50.32,36.99,21.81,18.47,86.02,6.54,143.87,30.69
Mango,Andhra Pradesh,Kharif,10.0,45.48,42.13,27.01,54.91,5.9,145.44,26.13
Rice,Assam,Summer,82.48,52.26,51.38,26.07,69.2,4.93,94.76,22.64
Rice,Haryana,Kharif,79.27,40.05,31.86,24.44,88.63,7.73,300.0,31.53
Jute,Assam,Kharif,61.81,29.94,39.25,22.83,90.36,5.88,193.8,31.92
Blackgram,Jammu and Kashmir ,Kharif,60.24,73.54,18.26,36.05,81.31,8.1,105.64,25.91
Coconut,Assam,Whole Year,23.84,30.54,49.17,31.08,98.0,6.13,173.41,36.97
Blackgram,Karnataka,Rabi,28.34,63.96,25.2,23.46,59.06,7.14,51.36,17.58
Blackgram,Odisha,Kharif,28.76,77.65,21.54,23.81,71.99,6.55,79.58,18.14
Banana,Madhya Pradesh,Whole Year,80.62,76.46,57.58,27.64,84.65,5.99,110.6,26.86
Jute,West Bengal,Kharif,75.7,60.89,44.52,25.09,95.51,6.57,223.05,33.67
Blackgram,Uttar Pradesh,Summer,66.38,48.14,29.74,33.45,57.14,7.54,42.43,12.27
Coconut,Puducherry,Whole Year,31.74,39.96,36.78,28.53,91.99,6.21,123.88,23.47
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Grapes,Tamil Nadu,Whole Year,25.77,121.76,177.15,40.0,84.38,6.6,65.19,29.1
Rice,Uttar Pradesh,Kharif,57.1,40.22,35.87,28.08,90.1,4.73,300.0,40.74
Coconut,Karnataka,Whole Year,42.18,35.08,49.86,25.67,98.0,6.08,194.1,25.46
Jute,Odisha,Autumn,72.97,56.4,43.74,26.99,86.75,6.66,149.54,25.31
Blackgram,Uttar Pradesh,Kharif,59.03,60.35,18.18,28.53,64.98,6.27,104.38,21.64
Jute,Odisha,Autumn,77.38,54.84,40.86,23.51,64.41,8.11,246.58,26.7
